"Predictor","Jack pine Value","Jack pine SE","Trembling aspen Value","Trembling aspen SE","Black spruce Value","Black spruce SE","Other species Value","Other species SE"
"IntraH",-0.6459,0.0174,-0.3445,0.0157,-0.3257,0.0106,-0.2404,0.009
"InterH",NA,NA,-0.0268,0.0068,-0.1159,0.0089,-0.093,0.0121
"DBH × SA",0.972,0.0426,-0.3654,0.0287,0.1641,0.0286,-0.3298,0.0282
"ACMIA × DBH",-0.0039,5e-04,0.0016,3e-04,-0.0021,2e-04,NA,NA
"DBH × IntraH",NA,NA,-0.0574,0.0062,-0.0497,0.0043,-0.0578,0.0054
"DBH × InterH",-0.1445,0.0075,NA,NA,-0.1076,0.0051,-0.0406,0.0051
"ACMIA × SA",NA,NA,-0.0051,5e-04,0.0032,3e-04,0.0031,5e-04
"IntraH × SA",0.3862,0.0198,NA,NA,NA,NA,NA,NA
"InterH × SA",NA,NA,0.048,0.0091,0.2219,0.0136,NA,NA
"ACMIA × IntraH",-0.0026,2e-04,NA,NA,-0.001,1e-04,NA,NA
"ACMIA × InterH",NA,NA,NA,NA,NA,NA,NA,NA
"InterH × IntraH",-0.0679,0.0037,NA,NA,-0.0421,0.0029,NA,NA
"GSCMIA",-0.8734,0.0706,-0.673,0.0703,-1.7765,0.0523,-0.96,0.0568
"(Intercept)",-0.8734,0.0706,-0.673,0.0703,-1.7765,0.0523,-0.96,0.0568
"DBH",0.6752,0.0503,1.4849,0.0557,0.5904,0.0327,1.0729,0.043
"SA",-1.0399,0.0517,-1.0856,0.048,-0.4667,0.0439,-1.2422,0.0631
"GSCMIA",-0.0012,2e-04,NA,NA,NA,NA,NA,NA
"IntraH",-0.6463,0.0175,-0.3476,0.0157,-0.3255,0.0106,-0.2401,0.009
"InterH",NA,NA,-0.0239,0.0068,-0.1183,0.0089,-0.0929,0.0121
"DBH × SA",1.0122,0.043,NA,NA,0.1794,0.0285,-0.3292,0.0282
"GSCMIA × DBH",-0.0028,5e-04,NA,NA,-0.0019,2e-04,NA,NA
"DBH × IntraH",NA,NA,-0.0624,0.0063,-0.0485,0.0044,-0.0579,0.0054
"DBH × InterH",-0.1455,0.0075,NA,NA,-0.1074,0.0051,-0.0407,0.0051
"GSCMIA × SA",-0.0031,5e-04,-0.0068,5e-04,0.002,3e-04,0.0031,5e-04
"IntraH × SA",0.4041,0.0201,0.1131,0.0135,NA,NA,NA,NA
"InterH × SA",NA,NA,0.0661,0.0092,0.2258,0.0136,NA,NA
"GSCMIA × IntraH",-0.003,3e-04,-8e-04,1e-04,-0.001,1e-04,NA,NA
"GSCMIA × InterH",NA,NA,NA,NA,NA,NA,NA,NA
"InterH × IntraH",-0.067,0.0037,NA,NA,-0.0417,0.003,NA,NA
"ACO2A",-1.1461,0.0889,-0.8902,0.0745,-1.7265,0.0504,-1.0256,0.0455
"(Intercept)",-1.1461,0.0889,-0.8902,0.0745,-1.7265,0.0504,-1.0256,0.0455
"DBH",0.6225,0.0493,1.4155,0.0548,0.5864,0.0327,1.1427,0.0426
"SA",NA,NA,NA,NA,-0.529,0.0436,-0.3465,0.1039
"ACO2A",-0.0212,9e-04,-0.019,9e-04,NA,NA,-0.0162,0.0017
"IntraH",-0.6508,0.0172,-0.3672,0.0155,-0.3249,0.0107,-0.2288,0.0089
"InterH",NA,NA,-0.0282,0.0069,-0.1192,0.0088,-0.0785,0.0119
"DBH × SA",0.8614,0.0462,0.2258,0.0545,0.095,0.0289,NA,NA
"ACO2A × DBH",NA,NA,NA,NA,NA,NA,0.0053,0.001
"DBH × IntraH",NA,NA,-0.0514,0.0063,-0.0354,0.0044,-0.0534,0.0058
"DBH × InterH",-0.1258,0.0075,NA,NA,-0.0889,0.005,-0.0424,0.0053
"ACO2A × SA",-0.0096,0.0019,-0.0136,0.0025,0.0049,0.001,0.0135,0.0029
"IntraH × SA",0.3278,0.0201,0.1879,0.0235,NA,NA,0.0629,0.0165
"InterH × SA",NA,NA,0.1464,0.014,0.2041,0.0136,0.0806,0.0153
"ACO2A × IntraH",-0.0127,5e-04,-0.0079,5e-04,-0.0039,2e-04,NA,NA
"ACO2A × InterH",NA,NA,-0.0015,3e-04,NA,NA,NA,NA
"InterH × IntraH",-0.0573,0.0037,NA,NA,-0.0295,0.0029,NA,NA
